印刷整套流程,"客户有明确需求后的操作流程：

1.要求对方发送本次印刷的文件及相关规格参数和问客户要样本
印刷报价涉及规格参数多，销售人员无法当场给客户计算报价，需要拿到样本或所有规格参数后，由专门的人员计算后再给出报价。

2.规格参数：
1）页数：多少页数都可印刷
注意：骑马钉的P数一定要是4的倍数。（如果客户提供的原稿是18页，可以建议加上2页空白页（例如，加在A3和A4作为2个空白的内页）变成20页，或者删除2页变成16页）
2）封面纸张多为250g， 200g
  单片纸张多为：300g，250g，200g， 157g
  内页纸张多为：157g，128g，105g，128g，80g，70g，其中70g和80g的纸张多用于笔记本内页或页数较多册子的内页
  若不确定该用怎样的纸，请客户提供样本后交由资深销售确认
最常用哑粉纸和铜版纸，另外也有双胶纸和无碳复写纸
   - 铜版纸更亮更光滑，哑粉纸和铜版纸两者价格一样
   - 双胶纸多用于笔记本内页
   - 无碳复写纸多用于三联单等
3) 装订：骑马钉、折页、胶装（无线/穿线）、封套
4) 尺寸规格：
210*297mm（即A4，国外用的多）
210*285mm（国内尺寸，比A4略短）
210*280mm（用得较少）
5) 颜色规格：
双面彩色：4C/4C
双面黑白：1C/1C
单面彩色：4C/0C
一面彩色一面黑白：4C /1C
6) 后道（覆膜、装订方式等）：
覆膜：光膜，哑膜
过油（印油）：光油、哑油
其他后道：局部UV，模切
7) 份数：100份也可以印，但单价会偏高，因为量越大摊到单本的单价越低，印量大性价比高

3.规格参数清晰后，系统登记采购需求由专人核算价格后得到印刷品报价

4. 跟盯客户并达成合同签单
1)  价格贵：
- 了解客户觉得贵的原因
- 之前是否有供应商？这次供应商有几家？了解客户其他供应商的价格，看一下我们是否有利可图，若有利润，则争取签单
2）客户要求先打样
- 可根据客户所印样本的参数提供我们类似印刷的样本，打消客户疑虑
3） 先设计2p
-签订合同后，设计整本样本前就是先设计1-2页，确认好风格以后再继续的
4）客户要求看厂
-   介绍优势，并给客户看大量的我们已印的样本
5）客户要进供应商系统
-  请客户提供进供应商系统的表格填写
6） 客户问完成时间：
印刷完成的时间取决于印刷要求,以及双方印前校对花费的时间,问客户期望完成的时间

5.ERP中输入合同，符合要求后将合同审核同意

6.安排生产部制版，下达准确清晰的要求

7.完成后先给客户PDF文件确认

8.客户确认后安排数码打样

9.与客户确认打样稿，收到客户签字确认的打样稿后，安排印刷大货，写清客户要求的交货时间

10.大货完成送至公司

11.销售验货

12.销售联系客户发货时间

13.客户户当场签收

14.开票付款"
笔译整套流程,"1.要求对方发送需翻译的文件给我们报价,问清客户翻译的特殊要求,以及要求达到的质量
2.了解过去情况
3.查系统合作历史：单价等
4.探价：首次合作需口头了解是否有供应商，单价，否则永远有人比你价格低
5.报价：不仅报价，还需同时给合作历史、案例、优势，控制期望值（千万不能仅仅报价），建议先口头报价，再基本确认后再正式报价
6.安排订单:下单5大要素要写清,若客户有提供参考稿需上传并写明具体参考哪些方面
7.如何查看订单的进行情况，发现问题
8.交货时：出稿检查看什么？特别是新客户，本人要关注什么
9.试翻的稿件：本人、带教、叶总是否都看过，销助是否确认整个流程
10.出稿后及时跟进：问什么，答应什么
11.收款：预付款，尾款
12.计较的客户大稿子分批出
13.内部退改,外部投诉的流程"
同传整套流程,"1.关于本次需求：
会议时间、会议时长、线上/线下、多少人、场合、地点、会议主题什么专业（医药）、语种

2.纯线上会议，软件区别和用途
Teams
Zoom
是否有直播

3.纯线下或线上+线下会议
设备是谁提供，标配？
现场网络如何保证，有哪些选项
什么时候用声卡、什么时候用扩展器

2.关于本次场地
会议室、展馆、酒店，现场电源，
大场地：什么场地必需保证收音质量
场地的走线
什么情况增加辐射板
辐射板的支架多高，放支架还是吊起来，分别有哪些问题

3.以前情况：
以前用过么，以前如何解决，供应商情况、谁决策、人员谁提供

4.彩排
什么时候进场
彩排怎么配合
与各供应商之间的协调

5.口译人选
是否可以面试？电话面试
给别人的简历一般几页，提供几个人
相关行业经验（医药）

7.效果
翻译间放在哪个位置好，能看到屏幕还是看不到
翻译间有几种规格，常规用哪种，收费的区别
会议中间效果不好怎么办
彩排和实际会议时有偏差什么原因
何时与客户确认效果

8.耳机收发
耳机有几种，目前经常用的耳机
耳机遗失收费
如何保证耳机不遗失
人多时耳机的发放和收取，收取时是否有人协助或自己收
客户需增加耳机数量怎么办
预先提醒是否需备用耳机，收费

9.推其他配套服务
整个会议现场音响谁提供、屏幕搭建、灯光搭建、展板展架、活动几天、速记（英文速记）、摄像、摄影

10.给案例、给专业知识"
我们公司和哪些领事馆合作？,还有美国、加拿大、英国等国驻沪的领事馆和商会
公司何时成立的,我们公司是1997年成立的
用一句话介绍下公司的主营业务,主要是为外资企业提供资料翻译和样本印刷、同传、多媒体译制、网站汉化、商务礼品、展台搭建等服务
用一句话介绍我们第一,我们目前是上海规模最大、市场份额第一的本地化公司
介绍我们做过的客户和可提供的业务,"1）大多数客户是500强外企，并且与我们长期稳定合作，像3M、拜耳、阿尔斯通、住友等，很多公司和我们合作20余年了
2）最初我们是从翻译开始与各大外企的市场部开展合作，逐步扩大到印刷、视频译制，还有很多高端会议的交传、同传口译服务等，合作的业务越来越多"
用一句介绍我们的质量和速度,客户选择我们，就是因为我们能在质量上满足他们的要求，另外交稿速度也非常快
用一句话介绍技术资料的翻译是我们最擅长的,其实我们公司最擅长的领域包括各种技术资料的翻译，主要由于我们源自百年历史的上海交通大学，技术类资料的翻译是我们的独特优势
