2026-05-18 17:04:32 | INFO | main | 数据库 Schema 自动检查/修复完成
2026-05-18 17:04:32 | INFO | mail_scheduler | [scheduler] loaded 0 schedules from DB
2026-05-18 17:04:32 | INFO | apscheduler.scheduler | Scheduler started
2026-05-18 17:04:32 | INFO | mail_scheduler | [scheduler] started
2026-05-18 17:04:32 | INFO | main | 邮件同步表初始化完成，调度器已启动
2026-05-18 17:04:32 | INFO | kb_evaluation_worker | Knowledge Base Evaluation Worker started.
2026-05-18 17:04:32 | INFO | main | 启动企微会话存档 15 分钟异步轮询任务
2026-05-18 17:04:32 | INFO | archive_service | 企微 SDK V3 接口映射与内存模型初始化完成
2026-05-18 17:04:34 | INFO | kb_evaluation_worker | KB Eval Worker: SQL found 100 ApiAssist and 13 Trigger candidates.
2026-05-18 17:04:52 | INFO | archive_service | ARCHIVE_SYNC_ERROR {"session_id_filter": null, "status": "error", "msg": "腾讯会话存档拉取失败: 网络错误，腾讯会话存档接口请求失败", "sdk_error_code": 10001, "current_seq": 2956700, "timings_ms": {"load_private_key_ms": 54.57, "sdk_init_ms": 0.03, "load_seq_cursor_ms": 0.62, "fetch_chat_data_ms": 13415.87, "process_messages_ms": 6014.96, "save_seq_cursor_ms": 8.25, "total_ms": 19540.06}}
2026-05-18 17:04:52 | WARNING | main | 企微会话存档轮询未成功: 腾讯会话存档拉取失败: 网络错误，腾讯会话存档接口请求失败
2026-05-18 17:05:36 | INFO | kb_evaluation_worker | KB Eval Worker: SQL found 100 ApiAssist and 13 Trigger candidates.
2026-05-18 17:06:30 | INFO | main | 收到侧边栏辅助请求：客服[caselib_sales_smoke_te] -> 客户[caselib_ext_38369346-bcc] -> 请求会话[single_caselib_ext_38369346-bcc_caselib_sales_smoke_te] -> 命中会话[single_caselib_ext_38369346-bcc_caselib_sales_smoke_te]
2026-05-18 17:06:30 | INFO | intent_engine | CRM 客户画像未找到: 未找到 external_userid: caselib_ext_38369346-bcc 的客户信息
2026-05-18 17:06:30 | INFO | main | SIDEBAR_ASSIST_SUCCESS {"external_userid": "caselib_ext_38369346-bcc", "sales_userid": "caselib_sales_smoke_te", "session_id": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te", "requested_session_id": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te", "session_lookup": "exact", "latest_dialog_count": 0, "has_v1": false, "has_v2": false, "has_v2_compare": false, "crm_status": "not_found", "knowledge_status": "not_started", "api_invocation_id": null, "dedupe_status": "fresh", "request_key": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te::1::0::da39a3ee5e6b4b0d3255bfef95601890afd80709", "stage_status": {"requested_session_id": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te", "archive_sync": "scheduled_async", "session_lookup": "exact", "node_timings_ms": {"conversation_input": {"total_ms": 95.29, "parts_ms": {"session_lookup_ms": 90.57, "full_session_load_ms": 4.72}, "status": "empty"}, "fast_track": {"total_ms": 0.0, "status": "done"}, "llm1": {"total_ms": 0.0, "status": "skipped_no_recent_logs"}, "crm_profile": {"total_ms": 195.16, "status": "not_found"}}, "analysis_mode": "force_refresh", "llm1": "skipped_no_recent_logs", "llm2": "skipped_no_summary", "llm2_compare": "skipped_api_isolated"}, "timings_ms": {"normalize_request_ms": 0.02, "build_session_id_ms": 0.0, "load_recent_messages_ms": 90.57, "load_all_messages_ms": 4.72, "dedupe_lookup_ms": 0.91, "fast_track_scan_ms": 0.0, "load_summary_ms": 8.57, "reload_summary_ms": 4.83, "crm_profile_ms": 195.16, "total_ms": 316.63}}
2026-05-18 17:06:33 | INFO | archive_service | ARCHIVE_SYNC_SUCCESS {"session_id_filter": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te", "status": "success", "msg": "同步成功：新增 8 条，跳过重复 311 条。", "inserted_count": 8, "duplicate_count": 311, "parse_failed_count": 0, "fetched_count": 319, "batch_count": 4, "current_seq": 2957019, "timings_ms": {"load_private_key_ms": 26.86, "sdk_init_ms": 0.02, "load_seq_cursor_ms": 0.24, "fetch_chat_data_ms": 1278.06, "process_messages_ms": 1731.19, "save_seq_cursor_ms": 2.7, "commit_ms": 12.86, "total_ms": 3056.22}, "session_id": "single_caselib_ext_38369346-bcc_caselib_sales_smoke_te", "matched_session_new_count": 0, "matched_session_total_count": 0}
2026-05-18 17:06:38 | INFO | kb_evaluation_worker | KB Eval Worker: SQL found 100 ApiAssist and 13 Trigger candidates.
2026-05-18 17:07:40 | INFO | kb_evaluation_worker | KB Eval Worker: SQL found 100 ApiAssist and 13 Trigger candidates.
