题库,试题,参考答案
翻译销售规范-印刷流程,若销售需要设计人员与客户沟通，该如何处理？,设计人员原则上不与客户沟通，若客户执意要与设计沟通的情况下，尽量以电话形式沟通，如需当面沟通，由销售主管与制作主管事先协商安排
销售-ERP下单-采购需求,"根据客户提供的PDF文件写出采购需求：
1）印刷规格等各项要求,根据样本情况使用常规规格
2）并且，由于客户没有印刷经验，客户印刷需要量也不多,只需要300份,因为是新客户,为了成单,提供阶梯报价,报价份数销售自已定
","页数:24p 
尺寸:210x285mm 
材质:封面250g哑粉、内页157g哑粉 
工艺:封面封底覆哑膜 
颜色:4色
装订:骑马订
份数:300/500/1000"
销售-ERP下单-采购需求,"根据PDF做采购需求登记
1、印刷份数1000份
2、规格根据文件看
3、纸张客户没有特别要求,按常规纸张和厚度就可以","尺寸:210*297mm
纸张:250g铜版纸,过光油
颜色：4C/4C
份数:1000份
后道:2折页"
销售-笔译-FAQ,什么是SDS文件，用途是什么?,"1、SDS英文全称为Safety Data Sheet，即安全数据表，也有翻译做“化学品安全技术说明书”，
2、它是化学品生产、贸易、销售企业按法律要求向下游客户和公众提供的有关化学品特征的一份综合性法律文件，包括了化学品组分信息、理化参数、燃爆性能、毒性、环境危害，以及安全使用方式、存储条件、泄漏应急处理、运输法规要求等方面的信息
3、SDS/MSDS的用途：海关商检、危化登记、货代报关、客户要求、国外通关、企业安全管理"
销售-笔译-FAQ,翻译文件中，若客户询问slogan是保留原文还是翻译出来好，我们该如何回复？,"1、一般外国公司的Slogan若需翻译，会请广告创意公司做“创译”，需符合公司的定位，本土习惯等，有一定的成本代价的，非普通的翻译
2、有的公司是保留，不翻译的，具体视情况而定
3、若需我们对Slogan翻译，若不额外收费，我们会尽量领会它的含意，进行翻译，可以提供1-2种翻译，客户可以根据公司定位情况再进行修改"
销售-笔译-报价,当客户的稿件比较多，是否需要分批交稿？,"1、按照以往合作的模式，给客户分批交稿
2、根据客户要求，按先后顺序分批交稿
3、若稿件已句对并开始翻译工作后，客户提出要分批交稿，我们只能按原来文件的编号顺序分批交稿，不能更换
4、若稿件是单个页数较多文件，不建议将文件拆分后分批交稿，尽量还是一起出稿"
销售-笔译-报价,当遇到采购+最终用户，在关于价格的三方跟单过程中，我们需要注意哪些,"1、不要草率的答应还价；
2、了解决策权在哪一方；
3、出费用的是哪一方；
4、多方交叉了解内部情况；"
销售-笔译-报价,收到客户需求，当统计后报价金额大于5000元时，我们应怎么做提高签单成功率？,"1、不能盲目报价，我们应先与客户沟通，增加签单成功率（先口头报价，不书面报价）
2、了解用途（是否必须）
3、交稿时间
4、预算
5、是否比价
6、签单流程
7、决策人和使用人"
销售-笔译-报价,老客户公司新联系人，报价后客户对报价疑义，该如何处理？,"1、立即跟进，不拖，避免丢单（能电话联系的，建议直接电话联系）
2、给客户介绍我们与他们公司的合作历史，与该公司其他同事的价格一致性
3、了解客户觉得疑义的真正觉因，了解客户预算，明确可行性
4、针对客户的问题，有效解决，尽快签单"
销售-笔译-报价,"客户询问怎么收费的,什么时候能完成,我们该如何回答?","您此次需要翻译的资料是哪个语种的呢?关于什么方面的?文件可以先发给我们看一下吗?

我们是按字数收费的,不同的语种,不同要求价格不一样

哦,这个我们翻译过很多啦,我们服务的很多是世界500强企业,80%的公司都和我们签了长期协议,对我们都很认可的,像XX、YY、ZZ都是由我们提供服务的,我们有非常强的译员团队,会安排专业对口的译员,而且我们还有行业内最好的数据库

您是否可以将需要翻译的资料发送给我,根据您的资料我给您具体报价和交期

您之前这类的翻译工作是怎么解决的呢?

具体什么时候需要呢?"
销售-笔译-报价,"客户说不需翻译,只要校稿,怎么收费的,我们该如何回答?","校对的费用主要取决于翻译稿的质量,所以您可以将原稿和目前已有的翻译稿一起发给我们,我们会有老师自己看译稿的质量后,就能报给您报价了
想问一下,这份资料的翻译工作是谁做的,是你们自己员工作的,还是其他供应商做的?
你们觉得质量如何?什么地方不满意,
校对的重点在哪儿?需要达到什么效果?"
销售-笔译-报价,"客户说文件中有大量的相同部分,如何计费的,我们该如何回答?","我们收费标准都是一样的,不管相不相同,我们都要经过三轮质检的,都是要费时费力的
如果您的文件中存在大段的相同,不需要我们翻译的,可以圈出来,我们不收费的,
具体您可以将文件发过来,我们先看一下"
