客户触发,我方回复
我晚点给老板看下报价,[OK] 这次确实要比之前多了不少内容
我重新听了一下 只有1需要翻译 他应该是两个录音笔 一起录得 因为我们这个群访一共只有50分钟,收到，我来对一下。慢点发邮件的时候按更新的价格报出来
[文件] [文件] 我用手机录了 不知道能用吗,谢谢Ral，我来听下 引用：请问大概多久可以给到我们；回复：时间肯定要51后了，你们有大概的DDL吗？我要花点时间处理下这个声音质量 另外，还需要帮我走PO流程哦
rliao@lelabofragrances.com 这个是最清晰的版本,引用：rliao@lelabofragrances.com；回复：恩恩，Ral的我有的
lroya@lelabofragrances.com,[语音]
hello 我们ok这个价格，麻烦尽快开始吧 请问大概多久可以给到我们,roya，你给我个邮箱吧，我发个邮件给你和Ral，我需要书面确认一下
没事 他们晚给也没办法,好滴，那2个文件等回助理会发个报价给你，帮忙回复一下，我补个公司手续
是的 所以我只要个数字就好 还是echo付应该,[图片] 6个点 专票
ceo群访速记 报价多少钱 跟我说下可以吗,咋了 和他们的协议价5400
你们的报价单上还是科技发展那个哦 不要紧,好滴好滴，我马上改掉重新发您
18-19:30是social talk 500,引用：Olivia和Lydia；回复：2位时间OK哈，稍等我发个报价单哦 我们大约需要多少接收器呀 OK，先按这个报，到时可以调整哈
正式活动是17-18点 类似于品牌之夜,约老师 6月26日 16点-20点， 时间ok哇
我们有活动 在上海 世界会客厅 两位同传 1小时活动 会议开始前 结束后 可以陪老外老板交谈时翻译一下 Olivia和Lydia 这两位有时间吗,正式是1个小时活动， 然后前后陪着老板对吧~~ 我去约下2位哈~~
保留预装式 三个字,[图片] 三步这个加了字要两行了 要么 货号英文不要了？
我考虑的是，这里接下来是专门介绍预装装置如何使用的，所以保留预装式 三个字 引用：[视频]；这个昨天忘记给意见了，42-49秒部分，下面注释请拿掉，然后上传网址发给我，我最后给日本总部看一眼。,引用：我考虑的是，这里接下来是专门介绍预装装置如何使用的，所以保留预装式 三个字；回复：这里不改是吧
引用：[文件]；这是最后版本是吧？,[文件] 这个吧
那本12p的可以打样了吧,[视频] 这是
David，今天视频修改后的版本能给到我的吧,[图片] 这桢就这样放咯 [图片]
[emotion] 我看到Francesca 已经confirm order了,嗯嗯，收到邮件了，我发invoice给她
我发给我同事了 还在等他们回复,[emotion] 你在下单比较靠谱，哈哈
好 今天晚点回复您,谢谢 现在翻译类PO都要走下onetime class[捂脸] 邮件我也备注了 [图片] 有问题您在找我
嗯 目前我在帮caitlin 您直接和我对接就可以,明早给您报价单哈 邮箱发我一个哈
您好我是cae echo 麻烦您到时候把报价单发给我谢谢,好的，我再联系今天给bigbang做翻译 Caitlin也在现场的，她主持的QA 因为以往都是frank帮忙走的 费用大概是5400含税，和之前报价差不多。我先口头和你说下，安排下去
这个我不是很清楚 我只提交报价单 等我问问财务,麻烦啦，因为两家公司抬头很相似
是你收到什么信息了嘛？,grace那边的一张PO开到上海嘉赛信息科技发展有限公司了 两家都能用，就是开票的时候我需要用到是对应的公司抬头
哦 他们给我的号码是发展公司的,怪不得这张PO我也没收到，等重开好了，我再发到那个发票邮箱
你的报价单就是这个 应该没有,如果你们财务没有把税抵扣掉 报价单是嘉赛科技，两个公司名太像了，只差了信息和发展[捂脸] 我让财务先作废原来那张
[图片],收到，这样的话，签到OP-2 双层是可行的
[语音],好滴收到， 那个LED屏也是酒店提供哈 嗯嗯，电子牌的设计安排五一后做哈， 这2天先赶3个邀请函
需要的[Grin]我整理一下哈。报价好高。,好嘞， 启动和签到，2个报价都2选1就好哦，现在是都在了~~
[文件] 合同模板,收到，我按这个模版改一下哦
我还是倾向于先亮30%，视频完毕全亮。,好呀，那外圈蓝灯也换白灯，先亮外圈， 后面就全亮 双色是为了凸显差异， 舞台LED会比较亮哈
我们是7只视频,引用：[图片]；回复：Logo在第一个呢 一共7个~~
拼图，让老师先切一版看看，我们目前没什么想法啊,好滴好滴，正在赶邀请函哈，邀请函出了，下一个就是签到图构思哦
[emotion] 现在要想想放什么画面做拼图了 我觉得可以抛弃故宫了 如果做拼图的话 拼图的数量不用太碎。我感觉来150人，签到的可能就一半。,是滴，准备80个拼图位置差不多了 郝老板，可以麻烦问下酒店哇，宴会厅里有没有面光灯，就是会场现有的这种 好的，那还是建议要加上面光哦，这次的LED比大连还大，背光更强。 刚灯光老师还在问我，担心配的太少了~~
这个创意留了以后用吧~~~,那个数字拼图，也是比较创新的，请设计给VIP留C位和最好的数字
到时看。沈阳办公室也没多大哈哈哈。您刚才发的宫灯也特好看！！纠结，真是没辙。统统让位给灯箱了！,下次吧~~宫灯，签到双层板的构思，其实蛮特别的
我们已经把全副身家压在灯箱上了[破涕为笑],那个灯箱确实，哎，话说定制好了，要不要搬走呀，存在办公室，下次还能用~~哈哈
主要太贵了。。。我们又没表演节目[破涕为笑] 您按照我说的整理一下，看看多少钱。舞台灯有没有更经济的方式[Speechless] 跟外面一样2400那种？,嗯嗯，我先整理下哈 舞台面光灯我再看看有没有其他方案~~ 外面那种太弱了，打不了舞台
这个数量可能会增加哈。看主桌人数。 [图片],好滴，关于舞台补光灯（面光灯），建议加上哦。 我们这次LED 12*5米，加上Logo和字母灯，舞台会非常亮哦。 这样的话，拍照会和大连之前一样，领导的脸会暗哈
不要，不允许摆放，只提供电子指引牌的画面即可。 [图片],灯是这样的，去年那种2个的，也是1200元， 感觉效果不太好，所以换了，5个等的这种哈，价格是一样的 [图片] [图片]
这个法子听起来OK,就是都可以实现，主要考虑现场效果，哪种更好些哈 [图片] [图片]
50%和100%差别大不？我们希望能差别明显一些哈。,嗯嗯，具体还在和技术及制作讨论哦，看下是双色灯带，还是1色双层灯带
我觉得可以，颜色呢，能两种颜色吗,技术不建议采用2色灯带， 按之前的经验，2色色带会抢色，亮度反而降低 技术建议采用白色灯带，亮度最高，因为要考虑到舞台上的灯光，背景LED还有灯光，其他颜色都会比较弱一点点
没问题 麻烦导出原图发我一份,[图片] 这张高清图哈 我们的邀请函，讲师需要加照片哇， 记得去年有放讲师照片滴 不用的话设计按现在的排了哈~~
[文件] [文件],收到哈，2个邀请函文字
收到，确认。谢谢各位~,[图片] 这张也来啦~~
没了 就这一处修改,[图片]
引用：[图片]；尹老师那里 “焊接专家”更改成IWE （国际焊接工程师） 引用：这一堆 字体都调小；and,居中，收到 引用：尹老师那里 “焊接专家”更改成IWE （国际焊接工程师）；回复：这张还有其他需要调整的哇
摆放的时候留出位置就行了,嗯嗯，先排个效果图，我们先大致看下位置 引用：[图片]；回复：收到，谢谢~~ [图片] [图片]
5月22日 1800-2130，沈阳新世界酒店汇厅2 只有这么一张 [图片],嗯嗯，点有了，空挡我再加一下 [图片]
还有个事 让老师帮我导一个竖版ppt适配的背景图 我们可以自己编辑文字,[图片] [图片]
PPT模板 再给我个横板的[坏笑],[图片] 大屏图，调整了空格
分屏的屏幕尺寸为：6020*1376，中间放16:9的ppt，尺寸留出来大概就是2446*1376 易拉宝文字得周五才能给了。分屏的我要一下,嗯嗯，好滴，是我们活动现场用对吧~~ 来得及
还有2个需求：1 制作易拉宝，文字周五给。2制作分屏图，如下的样子。 [图片],易拉宝和分屏图的文字，也麻烦明天一起发我呗
alice邀请函要再排一个 本周五要，文字最晚明天给。,好的，等文字 是General的这版对吧
联系上那个淘宝的客服了吗 [语音],不客气，我来联系出效果图 [图片] 看实物比较有感觉，这是2cm的大小~~ [图片]
[语音],嗯嗯，好嘞，安排打样 不好意思，一直打扰你休息~~ 好好养着哈
[语音],红包去年 您是自己准备的呢 从我这边走要加开票和服务费哦 其他没啥哈
这个是不是没有报价过，我都头晕了,引用：这个是不是没有报价过，我都头晕了；回复：前面2个之前做了有报价的 这个新增的 我先安排了 一页我就没特意问你要[微笑]
你们有相关扫描软件吗 最啊之类可以以后避免掉,因为这版不是翻译的 是你们发来的
另外里面还有一点极限次,现在yibonnt负责你们产品了？ 那就等一起改
但是我觉得图2K差不多了,7670 合计
你方便电话吗 我们说下这个事情,买了后再自己处理下什么的 那样可能会便宜
不是你们帮我们设计这个手册，用在这个里面的商业用途吗 哪里擦边球了 我问问吧,或者就是我说的 图你们提供 代付也行 引用：不是你们帮我们设计这个手册，用在这个里面的商业用途吗；回复：这个行业有的 比如包图网买图 就里面一部分什么的
图这么贵啊····· 我们另外的设计公司图片才几百块 排版不贵图有点贵,我真的不一定想赚这个图钱 且我还没赚到 图其实打的擦边球 我觉得 按照道理谁需要谁买 有指定商业途径的
嗯，手续费多少 但是报价里面不能写买图费你写成万稿费 但是报价里面不能写买图费你写成完稿费,这个我懂 我们在你们那就叫制版 哈哈
对你们没买过 但是这本手册要买下图的，你们可以看看外面图库多少钱一张，做点预算进去 2-3张吧,买图我们是额外加手续费的哈 和您说下 这个是财务规定 这个类似走账待付款了[捂脸] 其实还和我没多大关系 也不算我提成销售额的 不是我要赚这个钱
报价什么时候能有啊,下午肯定 马上就抽身了 引用：之前买的几百块是授权作品；回复：这个我们没买过吧 和你
我们没有图库 能不能请你们设计师到时候去选几张 报价里面把买图的钱算进去 EV这本可以先开费用 你们先预告价格吧,我先看下大概多少工作量吧
比如说封面啊什么的，我们没有EV的图肯定要买一下的,原则上 一般我们不买的 不过因为是3M的 我和老板说下问题不大 不过就是最好你们选中了哪张 我们去买哪张 用于3M商业就行
电话好了，你要打开下我发你的文件,我打开着 你好了告诉我 我电话你
那你上午有时间就叫我吧 手册我和你说下 稍等2分值,现在出来了 直接电话 还是teams？
你大概看看还有多少,？ 什么 三本手册 我改完了哈 引用：不好意思，我们沟通下来不放网站，若还有其他修改一起改下，若没有，完稿前再改一下；回复：就这个你们说再看下
你们不加贴片 就是翻译+字幕 含税对吧,不加贴片 就是280/分钟
"OK,但是精度是够印刷的对吧我记得当时问过 哪本是单数",差不多吧 这本我怎么感觉当时说不印什么的 太久了 反正里面个别图有点问题 大部分没 且好像单数了 有本
这个PDF是高精度可编辑PDF吗,不是最高的 当时说没 拉进软件里面可以编辑
那图片什么的是源文件给你的你找找吧,？ 我看看啊 其他2本是这本上复制的
这个手册之前一开始给你的是英文原版吗，文件你还在吗@David? 他是翻译的,不是啊 mick从无到有写的中文吧 还是谁写的
手册后面说过的太紧了 后面没调整呀 赶紧调整再给我一版本,调整了哈 变成单页了 那就导出这个？
单页报价记得给下,对 520 太小了 出报价单？[微笑]
还是精度问题 第三页没翻译是整体不要的 没翻译的就是要内容 不要内容,引用：110一张；回复：可以的
不用什么设计的 引用：文件精度；你帮忙看看现在这个文件是不是可以直接改，精度够不够。 不能改是吧,前面断了 我们这个网络电话 引用：你帮忙看看现在这个文件是不是可以直接改，精度够不够。；回复：去要设计文件吧 这个有的吧 这感觉像是Christine他们ASD的东西
我发给你了。麻烦报价和预估时间 文件精度 另外名片 110一张,"引用：开票吧；回复：刚发你了 这是一条引用/回复消息： ""David： 这个excel?"" ------ 我好像没看懂吗 我们电话下？?第一个需求来了哦，这个优先级最高，辛苦 这是一条引用/回复消息： ""David?第一个需求来了哦，这个优先级最高，辛苦"" ------ 发错了抱歉。"
报价单你明天发我吧,"引用：[图片]；回复：我就知道她会说 但是找她嘛 又被她说 这是一条引用/回复消息： ""V.K： 报价单你明天发我吧"" ------ 我发你了哈"
这是哪里的问题 你方便电话吗,我是担心jenny说我多事情 她是没告诉我这个故事 用户告诉我的 你可以正常按照以往的提 明天菲律宾打回来再说咯 你也是按照正常流程走咯
你和她打过交道吗,打过IATD之前有个大项目 一开始她牵头的 其他没 我们小不辣子接触不到 不过现在卡的是菲律宾采购 如果卡 帮我美颜几句
再加工下划线 哈哈哈 哈哈哈,Yvonne 这么认真的[微笑]
选大的 可以开始排版，报价也一起给我 ····,报价单我发你了 你走下申请看看 PO 好像菲律宾采购有问题 卡中国的供应商 弄的我现在也不敢做了
排一个效果我看看,大好像也可以 看个人喜欢 我见过人家实物名片 英文和中文确实不一样的
我确认版式就做 报价你给下吧 名片设计 可以的应该,110*25=2750 但不可以申请是吧 PO 130*25=3250 折后2750 我会这样写其实 引用：能不能帮忙把英文名字放大和中文看看；回复：英文和中文一样大？
能不能帮忙把英文名字放大和中文看看 我选一个,引用：[销售名片信息收集20250408.xlsx]；回复：这个什么时候开始做？
那你要说清楚啊 不然我生成这么多干什么······,我就是担心这个 才先扫了看的
人千万别搞错 他们要考核KPI的,我是怕同事以为二维码都一样 就全部沿用一个了 实际不是一个码
名片没有职位，重新排版后给我看下先 信息都给你了,上次说图都用一个是吧 就是样子的那个 引用：[销售二维码.zip]；回复：这里每个人是不一样对吗 我扫出来下面是这样的 2个
引用：[图片]；职位不要了 25个销售信息今天发布,引用：这个改好记得发我；回复：
引用：[图片]；这个改好记得发我,这个好了 我没发你？ 好像漏了
你这里还欠你什么钱吗 手册新增了 你都记录着,其他有被退回的 所以我问问 不欠 除了没做的 要么就是说到时候Q2补些费用的
证书之前你们不是做过的，文件都没了吗,当时1P什么的 肯定我叫同事帮忙做的 所以要找下 忽略我好像找到了
不是，是有修改的页,所以意思不是这本里面的按照原始页数，纯修改的折算？
手册修改这么贵啊 没算错吧,不是说按照现有页数，后面可能增加什么的。现在51页
你这里1W收货凭证有吗 做了多少钱了,对应申请报价单的内容 我有的
你梳理下哦 上次1W我知道还没开票 其他你看看我记账一下,算上那个1万是剩余18033 没算是8033 之前剩余8033的时候 问过我 我告诉过tina
PM反馈没说这个,我知道 你前面问我产品词的问题了 我猜想着说 不改最好对我来说 哈哈[微笑] 对了记得申请VSG哈 印刷要加上的
就是翻译修改的是吧,asd有些名字也是有时候会变的[捂脸] 引用：就是翻译修改的是吧；回复：嗯 包括那天说的 这个 其实我也有疑问的 左边这个词现在是确定的 气动角磨机 右侧之前有时候 是研磨机 也有叫角磨机的 [捂脸] 我的理解是 角磨机属于大的研磨机一种
如果没有的话， *就去掉吧，有的话加上 好的好的，我就学习下 我还在想这个叫什么我看你改了所以问问 引用：以前这个产品叫 钹型打磨片， 后来tina改了 刚性打磨片；是以后都叫刚性打磨片吗,[捂脸] 我猜是这样的 要改再改了 后面其他的允许还要改 3M? Cubitron? 3 Portable Grinding and Cutting Wheels这个是3M? Cubitron? 3?磨切两用打磨片；Depressed Center Grinding Wheels 刚性打磨片? tina 7月发我的
welders-choice-reel--CN--25.08.14修改.mp4 这个视频 这个*号翻译内容里面有吗，注解要加一下 另外再给一版没有最后二维码的版本 这个没说怎么改 你咋知道怎么改的 ····,以前这个产品叫 钹型打磨片， 后来tina改了 刚性打磨片 因为昨天同事下班前要走了 邮件来的 晚上改的 我着急了就没问
引用：[图片]；这里的三倍和10% 是同一个备注吗，帮忙看看原版里面是不是这样的@David?,图一 英文没备注 所以现在中文对应的没放 这里的有的 同一个 因为其他的删除了 现在备注3变成了 2
这是手册吗 我要视频哦,通过网盘分享的文件：3m-cubitron-3-cloth-belt-1184f-videos-global-version.zip 链接: https://pan.baidu.com/s/1ADPPEDhPrZ3v1pTrcquMtQ?pwd=vbkw 提取码: vbkw 这个是 copy错了
海报那个其实global文件还没好，除了海报你看看什么时候能翻译好,那海报文字算定了吗 还只是设计文件没好
除了TDS MDS 其他给下报价单 775L那套,这个数字绝对正 [强] 那我就按照这个出正式报价单是吧
圈出2个是PPT吗,这2个加起来要100页 字不少 PPT其实最不好弄
视频还要制作哦这么便宜啊 这2个这么贵啊,引用：视频还要制作哦这么便宜啊；回复：时间短 我也不敢随便加哈
你现在方便嘛 我和你说下,引用：[图片]；回复：1
请你先报价,引用：[图片]；回复：这个图片是什么 和QQ不一样
你们排版修改多少一页啊,没有明确的报价，看改的工作量呗，比如两三页算一页 130 这本还要改吗？ 这本就是今年才改的，今年不是新翻译的，是旧版上改的
明天上午我们开会要对这本内容 你这里看下，我们明天讨论下,应该这版。今年改过的。刚叫助理找了下
你现在方便吗 文件我和你对下 你打给我,对了你记得吧 当初报价的时候 删除了sds和tds的 我发现在PPT里面是有提到的 只是现在放的英文的封面 和你说下 引用：除了TDS MDS；回复：1
你们的报价单采购不审批 没说金额上限,啊 我还有这待遇 我只知道舒万诺现在3.5以下不用采购 以上要 大概我们翻译金额太小了 jenny不管了
我们肯定想和你合作的,那现在是啥情况哈?上面要求换？ 我记得当时采购说中国就留了我们一家，且协议重新续签的 然后剩下就是看用户选择
你们翻译怎么算钱的 100字报价的？ 报价单我没怎么研究 老板在问,常规的千字140元 然后是排版130/页
scoth的logo 字体更新过了，后面有设计帮忙更新,国外有说明哪里改了吗 我看最近的研磨刷好像和现在给的一样 已经更新了？
这本能先改好吗 再给我个授权,引用：[图片]；回复：声明：本产品资料版本号V20250218，更新日期：2025年2月18日。本资料内容（含产品性能描述）可能不时调整，以3M官网最新发布版本及官方说明为准。 这样OK吗？
你找到后，可以先改基本 给我们确认后再批量弄 你预估下完工时间 775视频 明天改吧,嗯 我要和同事协商时间 这个要点工作量的 改字快 主要是找到文件 下载 打开 改 导出 改字是最快了的 其他慢
以后注意存档特别是ASD东西太多…,反正现在逻辑上我们做的 都能找到 我也发现不是我们做的[捂脸]
你就和我说只改封底的价格吧[捂脸],其实一样的哈 1300 具体我没看文件 有些文件可能不涉及logo 有的涉及
引用：[图片]；只改logo是这个价是吗 只改封底,一起合计的 按照2个要求 加文字和改logo 其实改字快 只要是找文件、打开、再导出、 慢的是这个
那老板觉得贵你就按照她要改的logo不改是什么价格,回头不还是要改下 文件再找出来 导出一遍[捂脸] 岂不是又增加工作量 对吧 引用：[图片]；回复：如果这样回复 我还是继续发个邮件？
那就修改封面上的吧 logo,引用：[图片]；回复：这个我怎么回复 回复在哪 我现在交代看到这个logo就一起改掉的
logo 要不晚点再换吧 等手册有修改的时候,这次能看到一起修改掉吧 这些版本其实基本上都修改过了的 n多都是出过印刷文件了的
行，她确认就好 老板的回复,她说也要看下 [捂脸] 主要现在内部也考核排版人员的工作量 哎！ 不然我也不会冒然开口 平时改个什么的 都无所谓 很多还要换logo的哈 哎
有钱会通知你出的,要么这样吧 我先扣个1500 反正到时候后面PO来了 我明细列好 可以不？ 因为我对内要给同事工作量 就要看对应内部的订单明细？ ok吗 可以的话 我写个邮件给你 我赶紧安排给同事下去
你要么先扣个零头，后面等新PO有了你算账的时候扣,我没出报价单吧
这个费用不少的，我晚点问问,嗯呢 主要是文件太多 下载、导出什么的耽误时间 之前平时我们收的排版也不贵 [捂脸] 几个文件嘛 我就叫她们改改了
你没邮件我啊 报价和时间,这是一条引用/回复消息： 我放假上不了公司邮箱的，节后第一天你哈。
你联通报价单一起回我好了，PPT+视频翻译6个工作日 视频制作还要点时间对吧 你邮件我,嗯，节后，一起六个工作日吧，同时进行的，你们确认其实也要点时间
"ENEN,那应该没什么问题 是clean版本还是？",这是一条引用/回复消息： 放假我是上不了邮箱的，节后第一天。大概5-6个工作日
视频你看看文件行不行 还有大概多久能好 你邮件我把,这是一条引用/回复消息： 初看可以的，具体的软件能不能打来我拉倒软件里面的，目前看各类文件在的 但是缺不缺链接啥的，要等同事用软件具体打开
