S01-1 T1 OK | '好的徐姐，明天发我就行，不急。到时候咱们一起看怎么分批最合适。'
S01-1 T2 OK | '好嘞，收到。那下周一前你方便时把先后次序发我就行，我这边好提前排一下。'
S01-1 T3 OK | '好嘞，我先核对下这两页，葡萄牙语那条先按取消处理哈。'
S01-1 T4 OK | '5000以内双语种可以做的，我按你需求先出个方案你看看？'
S01-1 T5 [提数字(复核)] | '好的，那翻译文件我让技术先看一眼，确认可印后一起把6折报价单发你。'
S01-2 T1 OK | '好嘞，那我现在打给你方便吗？'
S01-2 T2 OK | '对的对的，含税含开票，这个你放心～'
S01-2 T3 OK | '可以的，我们支持代发，运费按实际结算，具体标准我查一下发你哈。'
S01-2 T4 [提数字(复核)] | '姐，不开票减6%我得跟财务确认下，明天上班给您准信儿。'
S01-2 T5 OK | '20元/本我这边先核算下成本，最快明天给你准信。'
S01-3 T1 OK | '理解，预算卡得紧确实得内部商量。我这边先按25左右准备个调整方案，你们商量完有数了随时跟我说。'
S01-3 T2 [提数字(复核)] | '明白，产品确实有差异。你看800本的话，单价能降一些，我算个具体数给你参考？'
S01-3 T3 OK | '明白，我按你需要的量重新算一版，尽量给你一个能拿去跟同事讲得通的价格。'
S01-3 T4 OK | '好嘞，那咱们电话聊，我打给你方便接不？'
S01-3 T5 OK | '对的，含税开票，22元/本这个价我再去跟领导磨一磨，有消息马上跟你说哈。'
S01-4 T1 OK | '好的，那另外3个附件也确认下收到没？'
